i	rgb	r	g	b	maxRGB	minRGB	c	h
348	94,92,86	94.0	92.0	86.0	94.0	86.0	8.0	45.0
349	113,140,144	113.0	140.0	144.0	144.0	113.0	31.0	187.741935484
350	73,114,126	73.0	114.0	126.0	126.0	73.0	53.0	193.58490566
351	74,99,102	74.0	99.0	102.0	102.0	74.0	28.0	186.428571429
352	93,114,119	93.0	114.0	119.0	119.0	93.0	26.0	191.538461538
353	74,78,67	74.0	78.0	67.0	78.0	67.0	11.0	81.8181818182
354	117,135,138	117.0	135.0	138.0	138.0	117.0	21.0	188.571428571
355	124,141,143	124.0	141.0	143.0	143.0	124.0	19.0	186.315789474
356	100,109,108	100.0	109.0	108.0	109.0	100.0	9.0	173.333333333
357	108,115,115	108.0	115.0	115.0	115.0	108.0	7.0	180.0
358	6,23,30	6.0	23.0	30.0	30.0	6.0	24.0	197.5
359	3,22,34	3.0	22.0	34.0	34.0	3.0	31.0	203.225806452
360	5,62,81	5.0	62.0	81.0	81.0	5.0	76.0	195.0
361	6,13,12	6.0	13.0	12.0	13.0	6.0	7.0	171.428571429
362	5,28,45	5.0	28.0	45.0	45.0	5.0	40.0	205.5
363	7,38,60	7.0	38.0	60.0	60.0	7.0	53.0	204.905660377
364	5,78,86	5.0	78.0	86.0	86.0	5.0	81.0	185.925925926
365	4,45,53	4.0	45.0	53.0	53.0	4.0	49.0	189.795918367
